RecallID,RecallNumber,RetailerFirm
8191,18045,Babies?R?Us and Toys?R?Us stores nationwide from January 2017 through October 2017 for about $10.
8190,18703,"Colleges, stadiums and other public facilities nationwide from October 2014 through February 2017 for between $5,500 and $10,000."
8186,18040,IKEA stores nationwide and online at www.IKEA.com from January 2002 through June 2016 for between $70 and $200. Other chests and dressers subject to this recall were sold between approximately 1985 and June 2016.
8187,18041,"Arizona Hiking Shack, Atlantic Diving Supply, Austin Canoe & Kayak, Columbus Supply, Dvbe Supply, Evac Systems, General Factory/WD Supply, Lafco Outillage, The Rescue Source, Witmer Associates (Firestone) stores nationwide and online at omega.com from February 2017 through October 2017 for between $31 and $51."
8189,18044,Kelseyville Lumber and Trademark Exteriors as stock items and at Home Depot as a special order item from February 2014 through June 2017 for between $25 to $30 per board for the decking and about $25 to $40 per board for the fascia.
8188,18042,"Clothes Pony and Caro Bambino stores nationwide and online at Amazon.com, Zulily.com and Woolino.com from May 2015 through November 2017 for between $50 and $60."
8185,18702,"Sleep Number stores and online from April 2017 to August 2017 for between $5,400 and $11,000 for smart beds sold with foot warmers."
8183,18037,"Arctic Cat dealers nationwide from February 2017 through August 2017 for about $17,000 for the ROVs with the winch accessory kits installed. The winch accessory kits were also sold separately from December 2013 through August 2017 for between $200 and $600."
8184,18038,"Bass Pro Shops, Cabela's, Kinsey's Archery and other archery and hunting sporting goods stores nationwide and online at PSE-archery.com from October 2016 through August 2017 for between $300 and $500."
8182,18036,"Bush Hog dealers nationwide from February 2017 to September 2017 for between $6,200 and $7,200."
8181,18035,Wholesale Fireworks stores in Wyoming from June 2017 through August 2017 for between $13 and $90.
8174,18027,"Drone Nerds store in Aventura, Florida and online at www.dronenerds.com from November 2015 through March 2016 for about $300."
8175,18028,"Village Mart store in Memphis, Tennessee from October 2015 to March 2016 for about $200."
8176,18029,"Amazon.com, iHoverspeed.com and other online retailers from November 2015 to December 2015 for between $290 and $330."
8177,18030,"Ace Hardware and hh gregg stores nationwide, Heartland America catalogs and online at AceHardware.com and hhgregg.com from April 2016 through March 2017 for between $170 and $200."
8180,18034,"Salvage World stores in Hattiesburg, Mississippi from August 2016 through March 2017 for about $150."
8179,18032,"Dollar Mania stores in Bossier City and Shreveport, Louisana from August 2015 through December 2016 for about $200."
8178,18031,Online at www.techdrift.com and www.amazon.com from December 2015 through April 2016 for between $400 and $500.
8173,18026,"OshKosh, Bon-Ton, Kohl?s, Fred Meyer and other retail and department stores nationwide, and online at www.oshkosh.com between August 2017 and September 2017 for between $35 and $40.?"
8172,18025,"Norco Bicycles dealers nationwide from May 2016 through September 2017 for between $400 and $1,700."
8171,18023,Online at Amazon.com and Wealers.com from May 2016 through July 2016 for about $12 for a 6 pack and $17 for a 12 pack.
8170,18022,"Menards, Montgomery Ward, Sears, The Home Depot, Walmart and other department, home and hardware stores nationwide, and online at Amazon.com, ShopKidde.com and other online retailers for between $12 and $50 and for about $200 for model XL 5MR. These fire extinguishers were also sold with commercial trucks, recreational vehicles, personal watercraft and boats."
8169,18021,Children?s boutique stores nationwide and online at www.dondolo.com from November 2014 through October 2017 for between $15 and $50.
8168,18020,Nordstrom and children?s boutiques nationwide and online at www.littlemass.com from July 2016 through October 2017 for between $27 and $42.
8167,18019,Amazon.com from January 2017 through October 2017 for between $11 and $17.
8166,18018,"Polaris dealers nationwide from December 2015 through September 2015 for between $16,000 and $21,000."
8165,18017,"Arctic Cat dealers nationwide from December 2013 through August 2017 for between $10,500 and $19,500."
8163,18701,Authorized Diving Unlimited International dealers nationwide and online at www.divegearexpress.com and https://www.divedui.com/ from February 2017 through June 2017 for about $500.
8164,18016,"Specialty toy and baby product stores nationwide and online at Diapers.com, Target.com and other websites from September 2016 through May 2017 for about $50."
8162,18015,"BuybuyBaby, Target, Toys R Us, Walmart and other stores nationwide and online at Amazon.com and other websites from November 2015 through October 2017 for about $160 for the Soothing Motions Seat and $175 for the Smart Connect Soothing Motions Seat."
8161,18013,"Appliance and specialty retailers, department stores, authorized builder distributors, and home improvement stores nationwide and online from January 2013 through May 2015 for between $850 and $2,600."
8160,18012,"Carter?s, Target, Walmart and other stores nationwide and online from January 2016 through August 2017 for between $11 and $20."
8159,18700,"John Deere dealers nationwide from July 2017 through August 2017 for between $3,800 and $8,000."
8157,18010,"Herman Miller, Design Within Reach and Herman Miller?s authorized retailers and dealers nationwide and online at http://store.hermanmiller.com and www.dwr.com from May 2013 through September 2017 for about $650 (non-upholstered) and $890 (upholstered)."
8158,18011,"Polaris dealers nationwide from December 2014 through July 2017 for about $7,500."
8156,18009,Target stores nationwide and online from June 2017 through August 2017 for about $35.
8155,18008,"Macy?s stores nationwide and online, and at Military Exchanges between January 2014 and July 2017 for about $25 at Macy?s and $15 at Military Exchanges."
8154,18007,Cost Plus World Market and World Market stores nationwide and online at www.worldmarket.com from January 2017 through August 2017 for about $180.
8153,18006,Home Depot stores nationwide and online at www.HomeDepot.com from February 2017 through July 2017 for about $5.
8152,18004,Babies ?R? Us and Toys ?R? Us stores nationwide from June 2016 through January 2017 for about $13.
8150,18002,"Specialty bike stores nationwide and online at www.jenson.com and www.REI.com from June 2014 to May 2017 for about $40, and installed as original equipment on ElliptiGO model 11R elliptical cycles from October 2014 to May 2017 for about $3,500."
8151,18003,Nationwide at retailers specializing in scuba diving equipment from October 2003 to April 2017 for about $440.
8149,18001,"Babies?R?Us, Target, Walmart, and other stores nationwide and online at Amazon.com from October 2009 through August 2017 for about $2.50 for a single plate or bowl and $15 for a Mealtime set."
8148,17235,"Babies R Us, Buy Buy Baby, Target and other retailers nationwide and online at Skiphop.com and Amazon.com from July 2016 through August 2017 for approximately $40."
8147,17234,DICK?S Sporting Goods stores nationwide and online at DicksSportingGoods.com from September 2015 through August 2017 for between $15 and $80.
8146,17233,"Specialty outdoor living stores nationwide, including Family Leisure, Fortunoff Backyard Store, and Watson?s, and through authorized websites and catalogs including Bed, Bath & Beyond and Frontgate, from September 2011 to May 2017 for between $800 and $2,000. The price of the LP conversion kit ranges from $90 to $105. The warranty parts were also sold as service parts for between $50 and $110."
8144,17231,"Target, Walmart and other stores nationwide and Shopko stores in Wisconsin from August 2015 through August 2016 for between $130 and $160."
8145,17232,"McCully Bicycle & Sporting Goods, Quality Bicycle Products, Uncle Funky?s Boards, and other sports specialty stores nationwide and online at Amazon.com and ProtecB2C.com from February 2016 through January 2017 for about $80 for the City Lite helmet, and about $60 for the Street Lite helmet."
8143,17230,Renthal motorcycle dealers nationwide from April 2009 through July 2017 for about $215.
8141,17228,"Christus Health Retail Systems, Joseph-Beth Booksellers, More Than Words, The Mole Hole of Peddlers Village & Eash Sales from June 2017 through August 2017 for about $25."
8142,17229,"Fireworks Over America wholesale distribution centers and retail fireworks stores, tents, and stands nationwide from October 2016 through July 2017 for about $10."
8140,17227,"John Deere dealers, Home Depot and Lowe?s stores nationwide from February 2016 through July 2017 for about $1,500. The service transmissions were sold by John Deere authorized dealers from March 2016 through August 2017 for about $300."
8139,17224,Moonrays and home improvement and hardware stores nationwide and online from August 2016 through March 2017 for about $20.
8138,17223,Target stores nationwide and online at Target.com from January 2013 through April 2016 for about $118.
8137,17222,"Christmas Tree Shops, andThat!, and Christmas Tree Shops andThat! stores nationwide from February 2015 to May 2017 for about $100 for the entire set."
8134,17766,"L.L. Bean stores nationwide, L.L. Bean catalog and online at www.llbean.com from April 2017 through August 2017 for about $50."
8135,17219,"Specialty ski and snowboard shops and by major retailers such as REI, online at Backcountry.com, Smithoptics.com, and other online retailers, from October 2016 through July 2017 for about $300."
8136,17220,"Book and other retail stores nationwide, book fairs and clubs, and online at Amazon.com, Barnesandnoble.com, Walmart.com and other online retailers from September 2016 through August 2017 for about $13."
8132,17217,Walmart stores and other retailers nationwide and online at Walmart.com from April 2009 through May 2016 for about $60.
8133,17218,"Kawasaki dealers nationwide from November 2011 through June 2017 for about $4,300."
8130,17764,"Authorized Honda Powersports dealers nationwide from September 2014 through August 2017 for about $8,700."
8131,17765,Amazon.com from December 2016 through July 2017 for between $16 and $21.
8129,17216,Hallmark Gold Crown stores nationwide and online at Hallmark.com and Amazon.com from June 2016 through July 2017 for about $30.
8128,17215,"4 Our Little Ones, Babies R? Us, Bebeang, Buy Buy Baby, Drugland Pharmacy, Family First Pharmacy, Global Nutrition Trading, Macro and Turquoise stores nationwide and online at Amazon.com from September 2016 to June 2017 for between $3 and $7."
8127,17212,Cracker Barrel Old Country Store stores nationwide from April 2017 through July 2017 for about $20.
8125,17210,"Ski and outdoor specialty stores such as Moosejaw and REI nationwide and online at Arcteryx.com and retailer websites such as Moosejaw.com and REI.com from April 2016 through March 2017 for between $750 and $1,000."
8126,17211,"Dr. Martens, Journeys and independent stores nationwide and online at Amazon.com, DrMartens.com, Shoebuy.com and other websites from January 2015 through July 2017 for about $125."
8123,17208,Academy Sports + Outdoors stores and online at Academy.com from March 2014 through May 2017 for about $130.
8124,17209,Plant food and hydroponic stores nationwide from November 2016 through July 2017 for about $33.
8122,17763,"Polaris dealers nationwide from June 2016 through July 2017 for between $16,300 and $19,000."
8121,17762,The refurbished cellphones were distributed by FedEx Supply Chain and provided as replacement phones only through AT&T?s Insurance program between December 2016 and April 2017.
8120,17207,"Home Goods, Kidding Around, Nordstrom and other specialty toy and mass retailer stores nationwide and online at Amazon.com, from March 2015 through June 2017 for about $13."
8118,17205,"Gerler and Son Inc., Grainger Inc., Safety Solutions Inc., Standup Rancher and other independent safety stores nationwide and online at Kohls.com, Steel-Toe-Shoes.com, Thewesterncompany.com, Workboots.com, from October 2013 through June 2017 for between $80 and $130."
8119,17206,"Dillard?s stores nationwide and online at Amazon.com, Dillards.com and Zulily.com from January 2017 through July 2017 for between $27 and $40."
8117,17204,"Kawasaki dealers nationwide from October 2011 through May 2017 for between $2,000 and $2,600."
8115,17202,"Meijer stores in Illinois, Indiana, Kentucky, Michigan, Ohio, and Wisconsin from January 2017 through July 2017 for about $14."
8114,17201,"Online at NVIDIA.com, Amazon.com, BestBuy.com, and NewEgg.com from October 2015 through June 2017 for about $30."
8116,17203,"Polaris dealers nationwide from April 2013 through June 2017 for about $13,300."
8113,17761,Firewoodvapes.com from October 2016 through June 2017 for between $135 and $185.
8111,17199,"RH outlet stores nationwide and online at www.RH.com and www.RHmodern.com from December 2015 through June 2017 for between $750 and $6,800."
8112,17200,Amazon.com from December 2015 through March 2017 for between $20 and $22.
8110,17198,"Fred?s stores in: Alabama, Arkansas, Georgia, Illinois, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Oklahoma, South Carolina, Tennessee and Texas from January 2017 through June 2017 for about $22."
8109,17197,Children?s boutique stores nationwide and online at www.mysweetbamboo.com from February 2016 through May 2017 for about $40.
8108,17196,"Amazon, Henri Bendel, MixBin, Nordstrom Rack, Tory Burch and Victoria?s Secret stores nationwide and online from October 2015 through June 2017 for between $15 and $65."
8107,17192,"Discount School Supply, Kaplan Early Learning Company, Panelcraft and Tout About Toys from November 2016 through January 2017 for between $120 and $150."
8106,17760,"These units were sold and rented to businesses nationwide from April 2011 through April 2017 as part of individual service contracts with Nestl� Waters. A limited number of units were purchased by these consumers for between $700 and $900, depending on the filtration system used. Nestl� Waters does not sell or provide these units at retail."
8105,17757,Really Good Stuff catalogs nationwide and online at www.reallygoodstuff.com from March 2003 through April 2017. The boards were sold individually and in sets of six for between $10 and $47
8103,17759,Amazon.com from July 2016 through August 2016 for about $20.
8104,17195,"Polaris dealers nationwide from February 2015 through July 2017 for between $4,600 and $4,800."
8102,17194,"M&M Discount, Tremont Discount and other independent mattress stores in the Greater New York City area and online at Ababy.com for about $65 and distributed free through various charitable organizations including August Aichorn from January 2015 through January 2017."
8101,17193,"Fallas Stores of Los Angeles, California, and T.J. Maxx and Marshalls stores nationwide from December 2015 through December 2016 for between $300 and $400."
8100,17758,At www.amazon.com from February 2015 through May 2017 for between $23 and $25.
8099,17191,Toy stores nationwide and online at www.manhattantoy.com and other websites from May 2015 through September 2016 for about $15.
8098,17190,"Polaris dealers from April 2014 through May 2017 for between $6,500 and $7,700."
8097,17189,"CJ Pony Parts Inc., Latemodel Restoration, Transamerican Auto Parts and other aftermarket auto parts stores nationwide and online at www.corbeau.com from April 2016 through April 2017 for about $150."
8096,17756,"Polaris dealers nationwide from December 2016 through June 2017 for about $8,500."
8094,17187,HomeGoods stores nationwide from May 2017 through June 2017 for about $4.
8095,17188,"Babies R Us, Toy R Us and other retail stores nationwide and online at Amazon.com from May 2016 through July 2017 for about $16."
8093,17186,"Ace Hardware, Home Depot, Kamps, Propane Depot, U-Haul and other stores nationwide and online at Amazon.com and other websites from November 2013 through September 2016 for between $10 and $15."
8091,17755,"Core distributors nationwide from November 2010 through April 2017, and by Unisen distributors from 2001 to 2010 for between $2,700 and $8,400."
8092,17185,"CanadaAmmo ,Wyvern Creations and other stores nationwide and online at www.triggertech.com from June 2015 to August 2016 for between $120 and$ 190."
8090,17754,"Superpedestrian.com from March 2017 through April 2017 for about $1,500."
8089,17753,"Independent Cub Cadet dealers nationwide from March 2016 through May 2017 for between $8,500 to $9,500."
8088,17184,Home Depot stores in Puerto Rico and U.S. Virgin Islands sold the Hampton Bay 3-Light Crystal chandeliers from September 2013 through February 2017. Home Depot stores nationwide sold the Home Decorators Collection 4-Light Crystal chandeliers from October 2015 through February 2017. Both sold for about $220.
8087,17183,"Babies R Us, BuyBuy Baby, and online at babiesrus.com, buybuybaby.com, amazon.com, kohls.com, target.com, zulily.com, diapers.com, hautelook.com, and burtsbeesbaby.com from December 2016 through May 2017 for about $18."
8086,17179,Home Depot stores nationwide and online at www.homedepot.com from December 2014 through March 2017 for between $95 and $110.
8085,17752,Target.com from May 2015 through August 2016 for about $160.
8084,17182,"Online at Amazon.com, Walmart.com, Wayfair.com and other online retailers from February 2005 through December 2016 for about $160."
8083,17181,"Albertsons, Kroger, Meijer, Target, Wal-Mart and other retailers in Illinois, Ohio, Vermont and Wisconsin from May 2017 through June 2017 about $5."
8081,17751,"Kawasaki dealers nationwide from March 2017 through April 2017 for between $8,000 and $15,000."
8082,17180,"Staples? stores nationwide and online at staples.com, staplesadvantage.com, and quill.com from October 2014 through April 2017 for between $100 and $180."
8080,17750,Independent bicycle frame builders from June 2015 through December 2015 for about $575 for the fork
8079,17749,At www.amazon.com from October 2015 through August 2017 for between $11 and $14.
8078,17178,Children?s specialty stores nationwide and online at www.littlegiraffe.com from November 2012 through March 2017 for about $100.
8076,17176,Authorized GTHI dealers and outdoor specialty stores nationwide and online at www.trango.com from October 2016 through April 2017 for about $90.
8077,17177,"Online at Amazon, Overstock and Wayfair, and from September 2016 through March 2017 for about $130."
8075,17175,Bicycle stores nationwide from June 2016 to August 2017 for between $440 and $800.
8072,17172,"Electrical distributors nationwide and online through the commercial desk at 1000Bulbs.com, Amazon.com, ATGStores.com, Build.com, HD.com, ShineRetrofits.com, and Wayfair.com from February 2016 through March 2017 for between $150 and $200."
8073,17173,Do It Best stores and other independent hardware stores nationwide from January 2013 through May 2017 for between $20 and $35.
8074,17174,"Leslie?s Pool Supply and other retail stores, wholesale pool suppliers including Pool Builders Supply, Pool Corp., Pool & Electrical Products, and United Aqua Group from September 2010 through October 2016 for between $400 and $500."
8071,17748,"Arctic Cat dealerships nationwide from June 2016 through May 2017 for between $13,200 and $16,900."
8070,17171,"Layette (Dallas, Texas), Hip Hip Hip Hooray (Dallas, Texas) and Born Children's (Montgomery, Alabama) stores and on-line at www.lilaandhayes.com from February 2017 through April 2017 for between $45 and $65."
8069,17169,"Online at Amazon.com and at gift and specialty stores in California, Iowa, New York, Ohio and Texas from September 2013 through April 2017 for between $15 and $17."
8068,17168,"Lowe?s and other retailers nationwide and online at Amazon.com, Lowes.com and other websites from May 2014 through July 2016 for about $350."
8067,17167,"Grainger, Platt Electric Supply stores and industrial and electrical distributors and wholesalers nationwide and online at Amazon.com and other websites from January 2016 through April 2017 for between $110 and $230."
8066,17158,"Costco, OfficeMax, Office Depot, Staples and other furniture stores nationwide and online at Amazon.com, Costco.com, OfficeDepot.com, Staples.com, Walmart.com and other online stores from July 2015 through February 2017 for between $300 and $3,500."
8065,17747,Rejuvenation stores nationwide from September 2016 through March 2017 for between $250 and $400.
8061,17162,The Surge 12V Camo 4X4 was sold at Walmart nationwide between June 2016 and March 2017 for about $300. The Surge 12V XL Quad sold at Academy Sports + Outdoors stores nationwide from September 2016 through March 2017 for between $150 and $200. The Tonka 12V Might Dump Truck was sold at Toys R Us stores nationwide and online at ToysRUs.com from July 2016 through November 2016 for about $350.
8064,17166,Hobby Lobby and Mardel stores nationwide from February 2017 to April 2017 for about $5.
8063,17164,Pier 1 Imports stores nationwide and online at www.Pier1.com from March 2014 to April 2017 for between $140 and $560.
8062,17163,"At Home, Christmas tree shops, Michaels and other stores nationwide from July 2016 through December 2016 for between $15 and $30."
8060,17160,Walmart and Westminster Trading stores nationwide and online at Walmart.com from June 2016 through May 2017 for about $40.
8058,17157,Michael?s stores nationwide from March 2017 through April 2017 for about $8.
8057,17156,Pier 1 Imports stores nationwide and online at Pier1.com from March 2016 through April 2017 for about $8.
8055,17154,Watersports stores nationwide from July 2016 through March 2017 for about $550.
8056,17155,Specialty toy and gift stores nationwide from July 2014 to April 2017 for about $20. Also distributed by UnitedHealthcare Children?s Foundation (UHCCF) to various individuals and organizations.
8054,17153,"Fred Meyer, Kroger, Ross, Target, HomeGoods and other specialty and grocery stores nationwide and online at Amazon.com from July 2016 through March 2017 for between $15 and $20."
8053,17152,"Aika Trading, Calhoun Cycle, Orange Pedal, The Garage OTR, Seattle E-bike and other bicycle stores nationwide and online from January 2014 through December 2016 for about $800."
8052,17151,Honeywell distributors nationwide between October 2014 and December 2016 for about $440 for the fire alarm system.
8051,17746,At www.littlepassports.com to Little Passports subscribers in February 2017 for between $18 and $21.
8050,17150,"Sears stores and HVAC dealers nationwide from June 2011 through August 2016 for between $12,000 and $18,000."
8049,17149,Quick Chek stores in New Jersey and independent pharmacies nationwide from February 2017 to March 2017 for about $6.
8048,17148,The recalled night lights were distributed as free promotional products by various companies between November 2016 and March 2017.
8047,17147,"Independent bicycle stores nationwide from January 2007 through December 2013 for about $200 for the stem sold individually and between $2,000 and $6,000 for bicycles sold with the stems as original equipment."
8045,17744,"Authorized Honda Powersports dealers nationwide from December 2016 through April 2017 for between $10,500 and $13,500."
8046,17745,"Polaris dealers nationwide from May 2016 through March 2017 for between $12,000 and $15,200."
8043,17742,Authorized Segway dealers and distributors and directly from Segway Inc. from January 2015 through April 2017 for about $920.
8044,17743,"Budget Blinds, Gotcha Covered, Home Depot, Lowe?s, JC Penney, Menards and independent Graber dealers nationwide, and online at Blinds.com from December 2015 through November 2016 for between $250 and $1,000."
8042,17741,Online at www.amazon.com from June 2015 through March 2017 for between $10 and $21.
8041,17146,"Online at Amazon.com, Babies R Us.com, Target.com and other online retailers from June 2015 through September 2016 for between $350 and $400 for the stroller and the car seat when sold together."
8040,17145,"Goodman, Amana and Daikin heating and cooling equipment dealers nationwide from September 2016 through January 2017 for between $850 and $1,150."
8039,17144,"Bed Bath & Beyond, Macy?s, Rite-Aid, Walmart and other stores nationwide and HSN from August 2013 through February 2017 for between about $30 and $50."
8038,17142,REI and specialty outdoor stores nationwide and online at Amazon.com from January 2012 to December 2015 for between $200 and $300.
8036,17140,"Arts Cyclery, Beatchwood Cycles, Beat Cycles, Breadwinner Cycles, Blazin Saddles, Harpers, Quality Bicycle Products, The Bike Hub and Squatch Cycles nationwide or online at www.chromagbikes.com from November 2016 through March 2017 for about $120 for the stem."
8037,17141,"FatFace stores in Maine, Massachusetts and Rhode Island and online at www.fatface.com from September 2016 through January 2017 for about $60."
8034,17139,Horizon Hobby stores nationwide and online at www.horizonhobby.com from October 2016 through December 2016 for about $180.
8035,17138,"G Willikers (Portsmouth, N.H.), Kid Dynamo (Berkeley, Calif.), Magic Beans (Hyde Park, Mass.), Magpie Kids (Somerville, Mass.), Pacifier (Minneapolis, Minn.), The Animal Kingdom (State College, Penn.), The Pump Station (Santa Monica, Calif.), Tip Toes (Holland, Mich.), and other stores nationwide and online at www.amazon.com and www.zutano.com from May 2016 through March 2017 for between $22 and $24."
8032,17136,Kohl?s stores nationwide and online at Amazon.com from June 2016 through February 2017 for between $40 and $50.
8033,17137,"Target, Toys R Us, Walmart, and other stores nationwide and online at Amazon.com, Razor.com, Target.com, toysrus.com and Walmart.com and other websites from February 2016 through April 2017 for about $180."
8031,17135,Cost Plus World Market and World Market stores nationwide and online at www.worldmarket.com from June 2016 through December 2016 for about $100.
8027,17131,Commercial installers nationwide from October 2011 through May 2013 for about $300 per panel.
8028,17132,"Polaris dealers nationwide from April 2014 through March 2017 for between $13,400 and $21,300."
8030,17740,"Polaris dealers nationwide from September 2016 through March 2017 for between $6,900 and $13,300."
8029,17133,Target stores nationwide from February 2017 through March 2017 for about $1.
8026,17130,"Sleepy?s and other mattress stores nationwide from June 2012 through January 2017 for about $1,500."
8024,17129,"Best Buy, HD Supply, Menards, and plumbing supply stores nationwide and online at Amazon.com, Costco.com, HomeDepot.com, Walmart.com and other websites from December 2015 through March 2017 for between $80 and $370 for � horsepower models and $100 and $450 for 1 horsepower models."
8025,17739,"John Deere dealers nationwide from January 2016 through March 2017 for between $10,000 and $12,900."
8023,17128,Teavana stores nationwide and online at Teavana.com from October 2016 through February 2017 for about $40.
8022,17738,"Furniture stores nationwide from August 2015 to February 2017 for between $4,200 and $4,400."
8020,17126,"Independent bicycle stores nationwide from December 2015 through February 2017 for about $1,000."
8021,17127,"Lajolla Swim and Sport, Nyce Wheels, San Francyclo and other sporting goods stores nationwide and online at Amazon.com and Xootr.com from November 2016 through January 2017 for about $270."
8018,17125,"Fred Meyer, Kroger, Smith?s and Fry?s Marketplace from February 2017 through March 2017 for between $7 and $10."
8019,17737,"Online at Amazon.com, Overstock.com and Wayfair.com from January 2012 through June 2016 for about $130."
8017,17118,Walmart stores nationwide and online at Walmart.com from February 2016 through August 2016 for about $190.
8014,17121,Bed Bath & Beyond and other specialty stores nationwide and online at www.Amazon.com and other online retailers from July 2016 through January 2017 for between about $18 and $20.
8016,17124,"Dicks Sporting Goods, REI, SCHEELS and other sporting goods stores nationwide from November 2016 through February 2017 for between $7 and $8."
8015,17122,Tractor Supply Company and farm and ranch stores nationwide from January 2017 through March 2017 for between $10 and $16.
8013,17120,"Various toy stores nationwide including Giggle and Saks Fifth Avenue, and online at Zulily.com from September 2012 to March 2017 for about $100. The Janod Barbecue trolley sold for about $70."
8012,17119,Target stores nationwide from December 2016 through February 2017 for about $5.
8010,17117,"Independent bike stores nationwide from July 2013 through December 2016 for about $500 for the stems sold individually and for between $5,500 and $16,000 installed as original equipment on Look Cycle road 695 and 795 road racing bicycles."
8011,17736,Solar panel installers nationwide from November 2016 through December 2016 for about $330 per solar panel with the connectors.
8009,17116,OPW through distributors and direct to gas stations as individual units and as part of hose kits from January 2013 through January 2017 for about $33.
8007,17114,"Independent bicycle dealers nationwide from January 2014 through February 2017 for about $4,000."
8006,17735,Online at Amazon.com from November 2016 through February 2017 for about $50.
8008,17115,The Audio Shop and Stereo Zone in California and online at VecaroLifeStyle.com from November 2015 through November 2016 for between $300 and $400.
